Date,Open,High,Low,Close,Volume
16-05-2023,3262,3283.8999,3250.75,3257,20043
17-05-2023,3251,3272.45,3198.6499,3209.1001,21459
18-05-2023,3209.1001,3209.1001,3209.1001,3209.1001,0
19-05-2023,3204,3233.95,3202.1001,3221.75,38600
22-05-2023,3222.8501,3308,3218.1499,3297.95,37822
23-05-2023,3308,3328.95,3290.45,3295.7,32867
24-05-2023,3268,3317.3501,3268,3301.05,11292
25-05-2023,3290,3305.6499,3267.8501,3294.75,30397
26-05-2023,3288.05,3339,3288.05,3329,66787
29-05-2023,3329,3329,3329,3329,0
30-05-2023,3317,3326.3,3302,3314.8,39929
31-05-2023,3314.8,3327.55,3271,3291,28339
01-06-2023,3310,3339.8,3295,3323.3,62779
02-06-2023,3316.2,3336.75,3296.6001,3304.3999,22900
05-06-2023,3313,3325.8501,3285,3289.6001,35207
06-06-2023,3289,3289,3221.3999,3234.1499,150482
07-06-2023,3237.05,3278.8,3237.05,3274.6001,109708
08-06-2023,3269.95,3270,3233.1001,3236.1499,63206
09-06-2023,3245.05,3249.95,3207,3210.45,137471
12-06-2023,3210.05,3254.3,3210.05,3248.55,95226
13-06-2023,3256,3265,3240.6001,3243.8,111746
14-06-2023,3241.05,3255.75,3226,3251.75,120224
15-06-2023,3240.05,3245.45,3211,3216.25,133137
16-06-2023,3203.95,3203.95,3156.2,3175.25,151310
19-06-2023,3175.3,3215,3173,3209.6499,88241
20-06-2023,3214,3232,3201.6001,3227.2,55192
21-06-2023,3240.05,3261,3224.5,3257.45,34640
22-06-2023,3265.95,3267,3231.8501,3238.8501,85493
23-06-2023,3236,3247,3209,3217.45,169294
26-06-2023,3202,3210.25,3172.45,3189.8999,115935
27-06-2023,3200,3209.7,3183,3196.6001,66914
28-06-2023,3203.05,3231,3193.2,3214.75,46412
30-06-2023,3215,3309.6001,3215,3300.5,128775
03-07-2023,3300.5,3300.5,3300.5,3300.5,0
04-07-2023,3300.5,3300.5,3300.5,3300.5,0
05-07-2023,3300.5,3300.5,3300.5,3300.5,0
06-07-2023,3300.5,3300.5,3300.5,3300.5,0
07-07-2023,3300.8501,3356.3999,3300.8501,3325.7,60304
10-07-2023,3326.1001,3326.1001,3265,3272.3,37435
11-07-2023,3272.3,3272.3,3272.3,3272.3,0
12-07-2023,3272.3,3272.3,3272.3,3272.3,0
13-07-2023,3272.3,3272.3,3272.3,3272.3,0
14-07-2023,3360.3,3524,3352.05,3512,392060
17-07-2023,3512,3549,3477.5,3491.95,76509
18-07-2023,3491.95,3491.95,3491.95,3491.95,0
19-07-2023,3495.05,3516,3446.2,3471,94660
20-07-2023,3457,3478.5,3436,3462.3501,72310
21-07-2023,3423.95,3435,3357.7,3369.6001,88718
24-07-2023,3374,3413.3999,3371,3394.2,71143
25-07-2023,3394.2,3394.2,3394.2,3394.2,0
26-07-2023,3385.05,3421.75,3384.8999,3387,21902
27-07-2023,3387,3387,3387,3387,0
28-07-2023,3389.8501,3389.8501,3331,3355.3501,97335
31-07-2023,3355.3501,3355.3501,3355.3501,3355.3501,0
01-08-2023,3355.3501,3355.3501,3355.3501,3355.3501,0
